# ----------------------------------------
# Gorilla Gadgets
# User Explorer
# 20210801-20210906
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1591989491.1629149724,1,00:04:22,0.00%,$0.00,0,0.00%
1592086947.1628134494,1,00:00:00,100.00%,$0.00,0,0.00%
1592169925.1629809817,1,00:00:00,100.00%,$0.00,0,0.00%
1592501655.1630899773,1,00:00:00,100.00%,$0.00,0,0.00%
1592569493.1628268430,1,00:00:00,100.00%,$0.00,0,0.00%
1592661198.1629525875,1,00:00:00,100.00%,$0.00,0,0.00%
159267500.1626647608,1,00:00:00,100.00%,$0.00,0,0.00%
1592724551.1628453430,1,00:00:00,100.00%,$0.00,0,0.00%
1592764430.1629479183,1,00:00:00,100.00%,$0.00,0,0.00%
1592918669.1628208012,1,00:07:58,0.00%,$0.00,0,0.00%
1593260728.1629437554,1,00:00:00,100.00%,$0.00,0,0.00%
1593450566.1630304383,1,00:00:00,100.00%,$0.00,0,0.00%
1593600805.1628687167,1,00:00:00,100.00%,$0.00,0,0.00%
1593607783.1630443337,1,00:00:00,100.00%,$0.00,0,0.00%
1593925448.1630257848,1,00:19:20,0.00%,$31.02,2,100.00%
1593996343.1628739823,1,00:00:00,100.00%,$0.00,0,0.00%
1594144732.1628275945,1,00:04:37,0.00%,$0.00,0,0.00%
1594188881.1629512879,1,00:00:00,100.00%,$0.00,0,0.00%
1594221170.1628377792,1,00:00:00,100.00%,$0.00,0,0.00%
1594259527.1630464183,1,00:00:00,100.00%,$0.00,0,0.00%
1594719142.1627814293,1,00:00:00,100.00%,$0.00,0,0.00%
1594977279.1628951425,1,00:00:00,100.00%,$0.00,0,0.00%
1595148487.1628359705,1,00:00:00,100.00%,$0.00,0,0.00%
1595798637.1629999846,1,00:00:00,100.00%,$0.00,0,0.00%
1595844519.1629394324,1,00:00:00,100.00%,$0.00,0,0.00%
1595852737.1628426780,1,00:00:00,100.00%,$0.00,0,0.00%
1595954935.1629154537,1,00:00:07,0.00%,$0.00,0,0.00%
1596114544.1628170581,1,00:00:00,100.00%,$0.00,0,0.00%
1596207273.1630091352,1,00:00:00,100.00%,$0.00,0,0.00%
